slot,rate [ct./kWh],energy [kWh],buyer,seller
2014-03-01T00:14:00,26.0,0.092532,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.2434315,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.06477225,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.078482,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.05829525,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.0575,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.03545,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.090882,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.0940295,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.15636575,IAA ZIP code,Market Maker
2014-03-01T00:14:00,25.999999999999996,0.32037400000000005,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.10461150000000001,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.0581545,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.06638325,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.07633799999999999,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.090882,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.092532,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.0581545,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.16095775,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.07027725,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.06638325,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.06477225,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.07633799999999999,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.15636575,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.0575,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.03545,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.05829525,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.13151425,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.19133050000000001,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.2434315,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.0940295,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.07027725,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.092532,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.10461150000000001,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.12285875,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.078482,IAA ZIP code,Market Maker
2014-03-01T00:14:00,26.0,0.02554025,IAA ZIP code,Market Maker
2014-03-01T00:14:00,25.999999999999996,0.32037400000000005,IAA ZIP code,Market Maker
2014-03-01T00:15:45,26.0,0.054990250000000004,IAA ZIP code,Market Maker
2014-03-01T00:15:45,26.0,0.049717,IAA ZIP code,Market Maker
2014-03-01T00:15:45,26.0,0.12601175,IAA ZIP code,Market Maker
2014-03-01T00:15:45,26.0,0.1146835,IAA ZIP code,Market Maker
